,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_duration_AVG_10min,,Rain_sum_10min,,RainIntensity_10min,,RainIntensity_10min,,RainIntensity_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineDurata_media_10min,,GrandineAmmount_sum_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,,Grandine_intensity_10min,
time,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,status,Avg,status,Max,status,Min,status,Sum,status,Avg,status,Max,status,Min,
5/28/22 6:40:13 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 6:50:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:00:11 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:10:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:30:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:40:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 7:50:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 8:00:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 8:10:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 8:20:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
5/28/22 8:30:10 AM,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,VALID,0.0,INVALID,0.0,INVALID,0.0,INVALID,0.0,
